position_x,position_y,position_z,attitude_x,attitude_y,attitude_z,attitude_w,input_throttle,input_yaw,input_pitch,input_roll,timestamp
551.10065,10.590042,347.60947,-0.31960168,0.5263232,-0.2221382,-0.7559717,0.69613945,0.0004882887,-0.06398108,-0.0004882887,610.13
548.9457,10.5015335,348.30737,-0.31219625,0.5283951,-0.21694118,-0.7591236,0.697116,0.0004882887,-0.06594949,-0.0004882887,610.23
546.7662,10.455953,349.02,-0.3043106,0.53054005,-0.21140246,-0.76238537,0.6985809,0.0004882887,-0.06594949,-0.0004882887,610.32996
544.5679,10.453827,349.74512,-0.29688555,0.5324976,-0.20620412,-0.76536596,0.7039521,0.0004882887,-0.06007477,-0.0004882887,610.43
542.35254,10.499058,350.48187,-0.28971946,0.5343249,-0.20115319,-0.76817775,0.72838175,0.0004882887,-0.05616846,-0.0004882887,610.52997
540.1154,10.603833,351.23184,-0.28498244,0.5354811,-0.1978176,-0.7700086,0.73814756,0.0004882887,-0.008300908,-0.0004882887,610.62994
537.8624,10.76514,351.9925,-0.2847413,0.53546685,-0.19758028,-0.77016866,0.6775769,0.0004882887,0.0004882887,-0.0004882887,610.73
535.6259,10.942058,352.75122,-0.28961226,0.53068936,-0.19060576,-0.77341,0.5691234,0.057145037,0.0004882887,-0.20273137,610.82996
533.44366,11.084411,353.49533,-0.31434172,0.50260127,-0.15395993,-0.79049194,0.57400626,0.13727017,0.0004882887,-0.3414664,610.93
531.3127,11.196861,354.24124,-0.3469129,0.4565,-0.10271781,-0.8128396,0.63995576,0.16560617,0.0004882887,-0.42745098,611.02997
529.2155,11.31018,355.02667,-0.3942591,0.3805737,-0.013813428,-0.83638066,0.71323717,0.2505989,-0.09329366,-0.622858,611.13
527.1546,11.457592,355.9238,-0.43606988,0.25307932,0.13124909,-0.85356176,0.83340967,0.30531776,-0.23692684,-0.68343633,611.23
525.1879,11.68498,357.06464,-0.44057718,0.0934935,0.280987,-0.84746516,0.8588159,0.37273213,-0.36198977,-0.69515526,611.32996
523.45416,11.980746,358.49643,-0.40788788,-0.09604575,0.41515213,-0.807497,0.85588616,0.45285726,-0.42354468,-0.6863661,611.43
522.09357,12.2966,360.13135,-0.35067174,-0.29399818,0.4940078,-0.7392907,0.8871519,0.47434196,-0.45774013,-0.56911576,611.52997
521.58105,12.45204,360.9742,-0.31816617,-0.38226807,0.5098108,-0.7019504,0.90327305,0.45676357,-0.45578697,-0.54175633,611.5792
520.7332,12.934049,363.38382,-0.19884083,-0.5986987,0.5558436,-0.5413503,0.8583276,0.377615,-0.33853665,-0.6863661,611.73
520.62976,13.2634945,364.73044,-0.089116864,-0.6903976,0.59217274,-0.40588287,0.81045246,0.18709087,-0.24376288,-0.48509955,611.82996
520.7539,13.581935,365.76767,-0.046117045,-0.71833897,0.5941391,-0.3589724,0.723003,0.020996414,-0.042496376,-0.05909819,611.93
521.0274,13.878664,366.53036,-0.04412799,-0.71969575,0.59362775,-0.35734716,0.61748683,0.0004882887,0.0004882887,-0.0004882887,612.02997
521.4135,14.13866,367.08533,-0.04412695,-0.71968454,0.5937125,-0.35722896,0.53785765,0.0004882887,0.0004882887,-0.0004882887,612.13
521.8886,14.350082,367.47763,-0.044940725,-0.7184657,0.59529835,-0.35694167,0.46360722,0.010254063,0.0698558,-0.0004882887,612.23
522.4304,14.500221,367.74728,-0.052975193,-0.71209955,0.60490763,-0.35241267,0.4323415,0.054215305,0.09231708,-0.0004882887,612.32996
523.0291,14.580005,367.91217,-0.06290983,-0.7088689,0.6122114,-0.3445932,0.5026856,0.05909819,0.0415198,-0.0004882887,612.43
523.7016,14.595297,367.945,-0.0696257,-0.70890206,0.6136882,-0.34058326,0.58866256,0.023926146,0.0004882887,0.058121614,612.52997
524.47015,14.557384,367.80716,-0.085016906,-0.70814866,0.6067679,-0.3508993,0.62285805,0.010254063,0.0004882887,0.19394217,612.63
525.33734,14.470545,367.50134,-0.1117461,-0.7048294,0.5933666,-0.37235,0.5437171,0.0004882887,0.0004882887,0.21738003,612.73
526.2756,14.325337,367.08307,-0.14013965,-0.69987774,0.5779718,-0.3955763,0.50805676,0.0073243305,0.0004882887,0.22421607,612.82996
527.26874,14.117893,366.5874,-0.17005786,-0.6952587,0.56128794,-0.41551366,0.5583734,0.042496376,0.0004882887,0.20859084,612.93
528.3346,13.859819,366.01202,-0.19860703,-0.69339216,0.5435485,-0.42932224,0.6560769,0.064972915,-0.05909819,0.21640345,613.02997
529.5115,13.57239,365.33963,-0.23018464,-0.6952704,0.51159257,-0.44931865,0.69173723,0.06398108,-0.120653085,0.29359883,613.13
530.81836,13.274036,364.57962,-0.26705292,-0.6953493,0.46597123,-0.47753862,0.7078584,0.053238727,-0.14117648,0.31508353,613.23
532.26074,12.9802065,363.7604,-0.29868847,-0.693517,0.41832218,-0.50480294,0.71665525,0.039566644,-0.16560617,0.27502862,613.32996
533.83734,12.703985,362.91333,-0.31789324,-0.69295305,0.37554535,-0.52699685,0.7278935,0.01904326,-0.13531701,0.19491875,613.43
535.54456,12.458721,362.06296,-0.32968226,-0.69031054,0.34360054,-0.54471993,0.7327764,0.0004882887,-0.11381704,0.18318456,613.52997
537.36865,12.248489,361.22903,-0.34353787,-0.6845211,0.3146645,-0.5607128,0.697116,0.0004882887,-0.09329366,0.19589533,613.63
539.2744,12.058675,360.43042,-0.35971582,-0.67627895,0.28193918,-0.57772106,0.6507057,0.0004882887,-0.11381704,0.22716106,613.73
541.2321,11.873253,359.6811,-0.37678945,-0.6659071,0.2454351,-0.59528065,0.637026,0.0004882887,-0.11381704,0.2232395,613.82996
543.23816,11.691498,358.99176,-0.3910235,-0.6546135,0.20906097,-0.6122707,0.66194403,-0.013183795,-0.1314107,0.21249714,613.93
545.29987,11.526246,358.37872,-0.4012582,-0.6421736,0.1729237,-0.6298431,0.6844129,-0.024902724,-0.13238728,0.20859084,614.02997
547.41974,11.389719,357.859,-0.41147104,-0.6263732,0.13762243,-0.6476175,0.6780652,-0.04444953,-0.12553598,0.22813764,614.13
549.5848,11.280355,357.44424,-0.4258727,-0.6013407,0.09663557,-0.6690914,0.6746395,-0.091340505,-0.14996567,0.29848173,614.23
551.7856,11.19643,357.1494,-0.44351143,-0.5576458,0.048408378,-0.6999897,0.71909666,-0.21152057,-0.16951248,0.35808346,614.32996
554.0342,11.154635,357.01215,-0.45977923,-0.48800105,-0.0063833413,-0.7419011,0.77038985,-0.27600518,-0.24083315,0.40595102,614.43
556.3226,11.177386,357.09283,-0.46289313,-0.40054494,-0.0680211,-0.7878241,0.82364386,-0.31313038,-0.2994583,0.41766995,614.52997
558.61206,11.28825,357.45352,-0.45629093,-0.29688057,-0.14083691,-0.8269373,0.8314565,-0.31996644,-0.33365378,0.53101397,614.63
560.83234,11.487185,358.11792,-0.4520332,-0.15707184,-0.263897,-0.83746815,0.79579616,-0.31508353,-0.3443961,0.67560846,614.73
562.8684,11.738989,359.0771,-0.430765,0.01014909,-0.4060498,-0.8058921,0.8295033,-0.3414664,-0.37273213,0.68148315,614.82996
564.58246,11.987159,360.26788,-0.39041233,0.17429745,-0.50742316,-0.7481446,0.8407416,-0.35906005,-0.36198977,0.55544364,614.93
564.8777,12.031536,360.52335,-0.38247657,0.20328644,-0.51880115,-0.73704255,0.8407416,-0.36198977,-0.3561303,0.51929504,614.94653
566.79034,12.333288,362.90225,-0.34353113,0.39431515,-0.52659756,-0.6702216,0.79042494,-0.26819256,-0.23106737,0.08059815,615.13
567.3162,12.444586,364.2123,-0.3373024,0.43161014,-0.5088804,-0.66406375,0.6673152,-0.07180896,-0.079621576,-0.0004882887,615.23
567.5505,12.522134,365.49597,-0.3373149,0.44268495,-0.5017441,-0.6621945,0.64435035,-0.062027924,-0.01904326,-0.0004882887,615.32996
567.51965,12.567602,366.75806,-0.3410998,0.4506576,-0.49772918,-0.65789384,0.6292134,-0.062027924,-0.008300908,0.045426108,615.43
567.24457,12.577787,367.9975,-0.33656645,0.46230498,-0.50466794,-0.64676696,0.6297017,-0.02978561,-0.021972992,0.14410621,615.52997
566.7289,12.550946,369.202,-0.32068604,0.47780657,-0.51758873,-0.63321656,0.7650187,-0.0327306,-0.08548104,0.14117648,615.63
565.8993,12.507867,370.34564,-0.3112062,0.49413818,-0.51345795,-0.62876004,0.8441596,-0.07376211,-0.124559395,-0.0004882887,615.73
564.71674,12.470707,371.40536,-0.30640873,0.51237404,-0.4978728,-0.62905425,0.85637444,-0.09329366,-0.10795758,-0.07376211,615.82996
563.2134,12.449463,372.37286,-0.31370056,0.5262251,-0.4716489,-0.63421327,0.8524605,-0.11772335,-0.09622339,-0.13727017,615.93
561.45074,12.444241,373.25656,-0.33256266,0.5366006,-0.43701503,-0.64068705,0.82413214,-0.15191883,-0.079621576,-0.21933319,616.02997
559.5009,12.447153,374.0755,-0.35594204,0.5475181,-0.39259353,-0.6476107,0.8050736,-0.16755933,-0.13434044,-0.21640345,616.13
557.41705,12.455464,374.8513,-0.37089673,0.56203145,-0.34377596,-0.6545031,0.77185476,-0.15094225,-0.15191883,-0.18904403,616.23
555.24884,12.4655,375.60132,-0.38317007,0.5728615,-0.30400234,-0.65771806,0.7186084,-0.106981,-0.031738766,-0.12748913,616.32996
553.05756,12.456278,376.33234,-0.38939545,0.5784963,-0.29518452,-0.6531305,0.60234225,-0.039566644,0.0004882887,-0.0004882887,616.43
550.8979,12.395975,377.03802,-0.39000762,0.5798236,-0.29452732,-0.65188366,0.5505608,0.0004882887,0.0004882887,0.030762188,616.52997
548.78503,12.275824,377.717,-0.38258436,0.5846938,-0.30291697,-0.64807695,0.6013657,0.0004882887,0.0004882887,0.120653085,616.63
546.68384,12.118265,378.3737,-0.37084013,0.5923482,-0.3158692,-0.64173824,0.74694437,-0.0073243305,0.0004882887,0.12945755,616.73
544.51776,11.972701,379.0123,-0.35240585,0.6074374,-0.3336634,-0.62888694,0.797261,-0.051285572,-0.01904326,0.25645837,616.82996
542.263,11.857541,379.62003,-0.31384963,0.63607633,-0.36616224,-0.6023542,0.7557336,-0.06398108,-0.062027924,0.3893492,616.93
539.9498,11.756205,380.16934,-0.24682674,0.6754689,-0.40837017,-0.56218517,0.7176318,-0.08645762,-0.14215305,0.50170135,617.02997
537.6002,11.658145,380.6275,-0.14456697,0.72422224,-0.45345905,-0.49897656,0.740589,-0.1157702,-0.2232395,0.58377963,617.13
535.4521,11.588917,380.9096,-0.035839424,0.7617907,-0.4887296,-0.42371443,0.7694133,-0.124559395,-0.18904403,0.566186,617.2125
532.7842,11.561298,380.98294,0.030338068,0.7772113,-0.51493704,-0.3603636,0.8099642,-0.08841077,0.0004882887,0.12651256,617.32996
530.3418,11.593949,380.73788,0.027647305,0.78113246,-0.5168377,-0.3492083,0.81045246,-0.06007477,0.0004882887,-0.0004882887,617.43
527.9072,11.668738,380.21707,0.022947775,0.7842194,-0.51709354,-0.34218082,0.7508507,-0.04054322,0.0004882887,-0.0004882887,617.52997
525.5224,11.742629,379.50504,0.02166786,0.7850037,-0.51716965,-0.340346,0.5202716,0.0004882887,0.0004882887,-0.0004882887,617.63
